"","MLS #","Status","Area","Address","# Beds Total","# Baths Full","# Baths Half","# Stories","# Parking Spaces","# Garage Spaces","Pets","Year Built","Sqft Total","LP$SqFt","List Price","Sold/Lease$/SqFt","Sold/Lease Price","Sold/Lease Date","ADOM","CDOM"
"1","2572680","A","HU","8112 PESCARA CV","3","2","0","1","","2","Yes","2016","1,635","$1.04","$1,695","","","","22","22"
"1","2870265","A","HU","5762 PORANO","3","2","0","1","","2","Yes","2016","1,695","$1.03","$1,750","","","","32","32"
"1","6240119","A","HU","8108 PESCARA CV","3","2","0","1","","2","Yes","2016","1,685","$1.04","$1,750","","","","8","8"
"1","7460080","A","HU","8009 Arezzo DR","3","2","0","1","","2","Yes","2016","2,056","$0.88","$1,800","","","","18","18"
"1","9434878","A","HU","5737 PORANO","4","2","1","2","","2","Yes","2016","2,295","$0.96","$2,195","","","","29","29"
"1","5059796","A","RRE","3639 Bass LOOP","3","2","0","1","2","2","Yes","1999","1,245","$1.11","$1,380","","","","3","3"
"1","7171791","A","RRE","569 Woodsorrel WAY","3","2","0","1","","2","Yes","2005","1,540","$0.91","$1,400","","","","23","23"
"1","8841705","A","RRE","3112 Settlement DR","3","2","0","1","","2","Yes","1997","1,461","$0.96","$1,400","","","","5","5"
"1","9089024","A","RRE","501 Grey Feather CT","3","2","1","2","2","2","No","2004","2,032","$0.73","$1,475","","","","46","46"
"1","2164008","A","RRE","2341 Bluffstone","3","2","1","2","2","2","No","2006","1,542","$0.97","$1,495","","","","47","47"
"1","4734377","A","RRE","1512 Sundance DR","3","2","1","1","","2","Yes","1995","1,417","$1.06","$1,495","","","","3","3"
"1","3434705","A","RRE","2321 Beckwood TRL","3","2","0","1","","2","No","2000","1,459","$1.05","$1,525","","","","33","33"
"1","9742039","A","RRE","3417 Cheyenne ST","3","2","0","1","2","2","Yes","2005","1,747","$0.87","$1,525","","","","37","37"
"1","4211428","A","RRE","307 Pheasant RDG","3","2","1","2","","2","Yes","2003","1,860","$0.82","$1,525","","","","13","13"
"1","1479845","A","RRE","1486 Rainbow Parke","4","2","0","1","","2","Yes","2005","1,954","$0.79","$1,550","","","","51","51"
"1","8762504","A","RRE","3512 Walleye WAY","3","2","1","2","","2","Yes","1995","1,920","$0.81","$1,550","","","","16","16"
"1","1102701","A","RRE","1425 Clary Sage LOOP","3","2","0","1","","2","Yes","2005","2,031","$0.76","$1,550","","","","18","18"
"1","3543737","A","RRE","3856 Willie Mays LN","3","2","1","2","","2","Yes","2002","2,330","$0.68","$1,595","","","","32","32"
"1","5595719","A","RRE","2721 Breezy Point CV","4","2","0","1","","2","Yes","2005","1,556","$1.03","$1,595","","","","5","5"
"1","1344485","A","RRE","2118 Valerian TRL","4","2","0","1","2","2","Yes","2002","1,671","$0.95","$1,595","","","","3","3"
"1","7644915","A","RRE","1509 Jackie Robinson PL","3","2","0","1","","2","Yes","2002","1,840","$0.87","$1,600","","","","5","5"
"1","9064500","A","RRE","3907 Bonnie LN","3","2","1","2","","2","Yes","2003","2,247","$0.72","$1,625","","","","18","18"
"1","8318289","A","RRE","572 Woodsorrel WAY","3","2","1","2","","2","Yes","2005","2,245","$0.73","$1,650","","","","2","2"
"1","7401190","A","RRE","1704 Fort Grant DR","3","2","1","2","2","2","Yes","1993","2,296","$0.72","$1,650","","","","27","27"
"1","3074995","A","RRE","1821 Briarton LN","3","2","1","2","","2","Yes","2004","1,985","$0.83","$1,650","","","","23","23"
